rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-1706-dup-2, quilliam, ashleigh, 57, bedford s treet, rosall, surrey hills, 6525, nsw, 19460730, 6408579
rec-462-org, jacqueline, daykin, 21, mackie crescent, logan central plaza, pottsville beach, 2213, qld, 19510605, 1615186
rec-1626-org, amelia, benger, 51, macalister crescent, , sippy downs, 4110, nsw, 19420909, 8671640
rec-408-dup-2, rily, gloster, 24, farrerplace, , frankston, 3178, nsw, 19590124, 2526809
rec-1224-org, lily, thorpe, 313, rivett place, thurlgona, mount gravatt, 6104, wa, 19310318, 9216585
rec-1561-dup-2, lary, slape, 11, lamington street, rosehe ll, albany creek, 6020, wa, 19010927, 2204911
rec-1723-dup-1, joshua, linnell, 2, lambrigg treet, craigie ela garden, rowville, 3185, qld, 19480511, 7096343
rec-1723-org, joshua, linnell, 2, lambrigg street, craigie lea garden, balwyn north, 3185, qld, 19480511, 7096343
rec-182-org, sophie, grubb, 36, furphy place, mid city centre, cottles bridge, 5091, qld, 19230322, 3779522
rec-1781-org, john, slywka, 33, gowrie court, boxwood vale, north ward, 6014, tas, 19590803, 5011995
rec-1614-org, alexandra, robson, 4, brunswick circuit, keith payne hstl, mount sophia, 5024, nsw, 19470726, 5974014
rec-885-org, stella, chandler, 50, ebden street, rosetta village, coffs harbour, 6304, vic, 19741215, 8164610
rec-1690-dup-2, thomas, white, 706, monaro crescent, birra billa, point lofsdale, 2088, wa, 19310818, 5855559
rec-1217-dup-0, hannah, bloomfield, 7, ferguson circuit, crown allotment, oakden, 7253, nsw, 19130806, 1605711
rec-1830-dup-2, , kochiwama, 44, antares crescent, telopea p ark, benowa, 7017, nsw, 19000626, 2398260
rec-208-org, lauren, bradshaw, 130, ashcroft crescent, upa cottages, stirling north, 2198, vic, 19301022, 1926163
rec-32-dup-0, willow, froscio, 378, yandastreet, , keilor, 5022, vic, 19091226, 6630637
rec-799-org, sophie, nicolle, 112, garling street, spring creek, kotara, 4740, nt, 19111001, 7492384
rec-729-dup-0, andrew, klander, 20, newman morois circuit, the willows, homebush, 2285, vic, 19761017, 5392569
rec-856-dup-0, angus, stanley, 6, lazar place, koobeja, floradhill, 7008, qld, 19971003, 1076050
rec-1128-org, jack, stubbs, 150, heard street, summerset, st agnes, 5344, qld, 19890526, 1690126
rec-365-dup-1, matthew, leong, 5, kavelstreet, glen-mwria, minchinbfry, 6153, nsw, 19170916, 1648925
rec-885-dup-1, stella, chandler, 50, ebden street, rosetta vlilage, coffs harbour, 6304, vic, 19741215, 8587561
rec-642-dup-2, katel byn, colegte, 55, fiveas hstreet, retirement village, londonderry, 2195, nsw, 19280828, 4406021
rec-854-dup-0, ebiny, morby, , condavale, macgillivray street, armidale, 2111, nsw, 19840906, 3945914
rec-421-dup-3, charlie, ebert, 21, brewster place, summerdale medical centre, franskton, 4570, vic, 19711020, 3939901
rec-1560-dup-2, charlotte, hylnand, 25, madsen place, leisure lvikng vlge, clarinda, 3108, qld, 19820410, 9354762
rec-1929-dup-1, cheree, purtell, 1, spring rsnge road, guest village (cnrubullcreek d drive, cooma, 6111, wa, 19300407, 5062347
rec-1992-org, laura, ryan, 3, officer crescent, craigie-lea, orange, 2289, vic, 19120402, 4198979
rec-1693-dup-1, feilcity, godfrey, 16, stuckey place, oaklands village, slacks creek, 6050, nsw, 19361030, 6452813
rec-665-dup-0, matthew, paine, 7, mcintyre street, urunga, moulyinning, 7000, nws, 19250117, 6277575
rec-501-org, mikhayla, campbell, 9, baynton street, st francis vlge, notting hill, 4350, qld, 19280711, 9484120
rec-1057-dup-2, charlie, roussonuis, 13, gledden street, woorabinda, craigmore, 6026, nsw, 19461111, 7379154
rec-561-dup-1, dale, fimeri, 37, burdett crescent, star court arcade, wilson, 6618, nsw, 19930529, 7559543
rec-540-dup-2, jaime, , 342, elliott street, kildarra, bedfordale, 2081, qld, 19631110, 8789539
rec-408-org, riley, gloster, 24, farrer place, , frankston, 3178, nsw, 19590124, 2526809
rec-636-dup-3, charlie, goode, 7, tauss place, grahdview, , 2575, vic, 19761213, 6548135
rec-918-dup-1, chloe, pantazopoulos, 147, allott place, wyoming park, aldgate, 2325, nsw, 19860807, 9036067
rec-929-org, corey, condo, 5, andamooka street, coolinda, hillston, 2026, nsw, 19900616, 4204990
rec-1489-org, emiily, berry, 3, tenison-woods circuit, , ashfield, 6169, nsw, 19780527, 6459366
rec-427-dup-3, emmet, weller, 11, copland drive, , birmingham gardens, 4365, wa, 19270516, 6281502
rec-15-org, liam, tuttleby, 5, verco street, rose-lea, trevallyn, 2259, qld, 19080101, 4376020
rec-316-dup-0, karfissa, creten, 185, beattie cescent, birrabilla, moranbah, 2525, nsw, 19360703, 2328993
rec-1498-dup-0, isabelle, kaminskas, 106, isis close, westholme, port augusta, 2765, qls, 19060622, 5344955
rec-910-dup-1, jayden, browne, 80, kincumber nautical vlge, chaseling street, sussex inlet, 2630, nsw, 19430306, 2825950
rec-1355-org, melissa, lanzotti, 24, balfour crescent, killara lodge, cranbourne, 2064, vic, 19810828, 7433231
rec-1648-dup-0, bailee, dent, 58, maddoc k place, jingara, nowra, 4171, qld, 19950112, 4080299
rec-658-dup-1, quinn, godfrey, 21, duffy street, ardersidr, highotn, 3165, vic, 19450122, 3298961
rec-1190-dup-1, charlie, stanley, , amagula avenue, , klemzig, 3356, vic, 19510717, 6800801
rec-1876-dup-0, jazz, stephenson, 210, julia flynn avenue, , ingleubrn, 3172, sa, 19401214, 4166094
rec-305-org, aleisha, mcelwee, 34, osburn drive, parraweena, condell park, 5237, act, 19440525, 2532051
rec-152-org, amber, blackwell, 25, thomson street, , salisbury, 3188, nsw, 19860325, 5701396
rec-1829-dup-0, shakiroh, evans-zijlstra, 1, ashkanasycrescent, townview, robina, 2340, vic, 19510905, 4746855
rec-805-dup-2, , shelley, 90, cromwell circuit, wombat hill, noble apark, 2026, vic, 19780711, 2664293
rec-480-dup-1, aiden, ryan, 292, honey patch, gundulu place, mosman, 3076, wa, 19360524, 3804933
rec-1200-dup-2, william, lazavroff, 431, leahy lose, millwood, forbes, 7256, qld, 19780204, 8072193
rec-717-org, jamie, van galen, 64, callister crescent, mowbray, hackham, 3060, nsw, 19720909, 3179404
rec-618-org, isabella, hendricks, 86, colborne place, dog rock shopping centre, north ryde, 2000, nsw, 19770129, 9899655
rec-1509-org, lucas, benger, 19, cunningham street, padicam, melton south, 2232, nsw, 19851030, 5458466
rec-1368-org, harrison, doman, 20, harry hopman circuit, moline village, toowong, 2088, sa, 19570519, 1542335
rec-879-dup-1, clarke, isabella, 59, gillespie street, , mount victoria, 2147, act, 19950110, 4409764
rec-1668-dup-1, emmerson, loyck, 5, burnie treet, gordale, thursday island, 3147, vic, 19211129, 3901477
rec-794-org, sarah, behnke, 3, pearson street, broombie stud, ramornie, 2209, vic, 19930910, 8625215
rec-1917-dup-3, angus, rees, 5, heatonnplace, pangani, new farm, 6210, nsw, 19220723, 8576362
rec-1081-dup-1, jordan, vaile, 12, mullan street, rosewynne, mansfield, 4153, qld, 19940914, 7672358
rec-568-org, tate, hingston, 159, oxley street, wylarah, kurri kurri, 5045, nsw, 19680521, 1954716
rec-1333-org, charlotte, bovill, 28, vickery street, cashbar, scarborough, 3911, vic, 19730412, 5083623
rec-368-org, emma, matthews, 39, vanzetti crescent, sunny brees, moorabbin, 5158, qld, 19910426, 1091439
rec-666-org, sophie, nguyen, 26, namoi place, , mount colah, 2550, nsw, 19701117, 2122377
rec-1991-dup-3, kai, white, 8, cockcrofqt avenue, allunga, parramaxta, 4197, , 19551009, 5791061
rec-1878-org, blade, stingle, 34, earle place, upper warrell, kellyville, 5046, , 19220925, 6748586
rec-528-dup-2, rosie, rundle, 8, sturt avneue, talonmane, bundaberg, 2263, nt, 19751109, 9092692
rec-1180-dup-0, wanders, harry, 120, morehead street, carrington trrmnt vlge, trevallyn, 7205, sa, 19121013, 8289232
rec-1794-org, harrison, matthiessen, 3, harbison crescent, oakdale, port kembla, 2619, wa, 19580430, 4684373
rec-1130-dup-0, lauren, sounness, 18, leist street, moondani, seaforth, 0832, qld, 19900129, 6693616
rec-569-dup-2, tommy, spinato, 29, howie court, , ballarat, 3356, nsw, 19821129, 4527826
rec-860-dup-0, connor, mayman, 40, marenghoplace, wilga, toowoomba, 2025, nsw, 19651018, 8203430
rec-1667-dup-1, amber, pamplin, 58, milton, sturt acenue, thornlie, 5040, wa, 19370407, 1824555
rec-1337-dup-2, nathab, priest, 363, banks street, manresa, malvern east, 4750, act, 19710428, 4665603
rec-1901-dup-2, casey, vitkunas, 22, jones place, karinga park, emmaville, 2346, tas, 19551192, 2474313
rec-125-dup-1, silas, webbm, 20, jacka crvscent, shopping centre, nambour, 4306, vic, 19580212, 7373672
rec-78-dup-0, nicholas, fittock, 10, fortitudey street, , st kilda east, 2298, nt, 19651025, 8437365
rec-1685-org, jayden, liberts, 3, odern place, peppertree, corryong, 2614, qld, 19341218, 5242447
rec-1706-org, ashleigh, quilliam, 57, bedford street, rosall, surrey hills, 6525, nsw, 19460730, 6408479
rec-1953-org, joel, ryan, 26, lance hill avenue, cameroo, forest hill, 3070, nsw, 19720615, 7563426
rec-115-org, danjel, vincent, 7, forbes street, villa 3, toukley, 3178, qld, 19510703, 8506548
rec-1068-org, jasper, jennion, 16, fitzhardinge crescent, lords house, glenside, 4034, nsw, 19720414, 5825359
rec-1981-dup-1, chloe, crosthwaite, 42, ashkanasy crescent, , canterbury, 4215, nsw, 19550722, 8848058
rec-479-dup-2, natqlee, coleman, 293, minns place, , waterman, 3910, vic, 19110405, 3646292
rec-224-org, sophie, laundy, 15, la perouse street, k mart plaza, eight mile plains, 3981, vic, 19021029, 8888208
rec-755-dup-2, reuven, edgecombe, 6, ashburton circuit, north vaenue, palmerston, 4231, vic, 19540701, 8642119
rec-1667-dup-0, amber, pamplin, 14, andrea palce, milton, seven hills, 5054, wa, 19691006, 1824555
rec-1511-org, ayla, benjamin, 3, bradfield street, concept, tatura, 2030, wa, , 4452328
rec-1387-org, , kempton, 8, homburg street, yellow dam, blacktown, 3122, vic, 19021108, 8283089
rec-1093-org, dylan, wilkins, 18, denovan circuit, two tree hill, brighton-le-sands, 2320, nsw, , 8735875
rec-1518-org, sienna, slape, 52, rene street, , burleigh waters, 4034, vic, 19400331, 7340083
rec-1014-dup-2, michael, laverty, 6, hytten place, sennockke, suffolk park, 2208, vic, 19631213, 9807797
rec-824-dup-0, jake, grosser, 3, lexcen a venue, horseshoe bend, bomaderry, 2161, vic, 19670227, 8695287
rec-718-org, madison, maynard, 257, holmes crescent, glenview, embleton, 2154, nsw, 19400506, 3031454
rec-285-org, byron, wisowaty, 58, pera place, john flynn medical centre, caulfield, 6101, , 19320304, 8901022
rec-1857-dup-4, layla, thrussell, 27, markell p lace, , frenchs forest, 6728, qld, 19250608, 1947368
rec-1590-org, jack, mcneeley, 39, keverstone circuit, royal queensland yacht squadron, brighton-le-sands, 4702, wa, 19880329, 1834993
rec-1996-org, grace, timmermans, 18, cussen street, hallsville, preston, 2251, wa, 19501207, 6702521
rec-1540-dup-2, carly, benger, 61, gellibrand street, gradnview, carnegie, 4011, nsw, 19710126, 5651019
rec-935-dup-0, brydee, westermann, 13, burkitt street, mlc centre, banks, 3352, vic, 19910126, 1387695
rec-1183-org, isaac, clarke, 1, armytage circuit, oaklands village, annangrove, 3636, vic, 19570425, 9451125
rec-1062-dup-1, madison, dixson, 37, , white lodge, ringwoid, 5047, sa, 19940413, 7161189
rec-256-dup-0, fraser, tadege, 1, mcinneswstreet, , scarborojgh, 2870, nsw, 19001013, 3817644
rec-1140-org, lara, chandler, 42, dempster place, henry kendall bayside, kingaroy, 2219, nsw, 19360624, 3577228
rec-1895-dup-3, hollv, shepherd, 3, stillwell place, elstoh, albion park rail, 6201, vic, 19800323, 4620818
rec-401-dup-4, alexa-rose, white, 22, warrego circuit, burnisde, bayswater, 3040, nt, 19160822, 2502613
rec-571-org, oliver, cureton, 164, drevermann street, burraminga, toronto, 3149, qld, 19920126, 9218356
rec-133-dup-4, benjamin, muog, 302, peat place, arlnigton, frankston, 4518, nsw, 19101008, 5994946
rec-1534-dup-4, isabella, runlde, 8, fawkner street, emerald agrigulural college, pottsville, 6154, nsw, , 6097070
rec-421-org, charlie, ebert, 21, brewster place, summerdale medical centre, frankston, 4570, vic, 19711020, 3939901
rec-1566-dup-3, haryr, clarke, , hyndes crescent, royal brisbane hospital, homebush, 4805, nsw, 19971021, 6391939
rec-165-org, hayden, ngai, 40, hinkler street, berajondo, nightcliff, 2263, vic, 19970624, 2260097
rec-1617-org, samuel, wasley, 12, earle street, university shores, northbridge, 2530, nsw, 19461003, 2561997
rec-152-dup-0, amber, black well, 25, thomso n street, warrina lakes, salisbury, 3188, nsw, 19860325, 2016958
rec-203-org, micaela, blackwell, , lewin street, rosedina, dulwich hill, 4103, nsw, 19791204, 7856388
rec-961-org, callie, bullock, 7, warramoo crescent, kanangra hstl, noble park, 2650, tas, 19351013, 6636494
rec-1610-org, sian, beelitz, 3, ashkanasy crescent, miowera, sylvania, 5042, nsw, 19510904, 3279804
rec-1487-org, daniel, clarke, 3, goldsborough close, , wilson, 2206, wa, 19630507, 9886493
rec-1446-org, riley, faull, 32, turner place, margaret river carvn park, long jetty, 2033, nsw, 19640728, 8404785
rec-118-org, riley, wegemer, 45, phillip avenue, walhalla, cremorne, 3937, wa, 19540621, 9657253
rec-486-dup-0, alexandra, knapman, 16, mceacherncxrescent, villa 306, chelsea heights, 3429, sa, 19151113, 6888119
rec-1388-dup-0, niocla, collier, , schaff eyr place, mt styrt, sheidow park, 2098, nsw, 19420623, 8536431
rec-703-org, emiily, vodden, 41, clement place, arcadia, st johns park, 2170, nsw, 19811218, 9588930
rec-732-dup-1, cassandra, rafanelli, 3025, , berragoon, st slbans, 3020, wa, 19270701, 7377790
rec-286-dup-2, dominxic, flockhart, 2, oxley street, clear creek, northgate, 3000, wa, 19890621, 5173538
rec-1031-org, samantha, sabieray, 68, quandong street, wattle brae, gorokan, 4019, wa, 19590807, 2863290
rec-286-dup-4, dominic, flockhdart, 26, oxley street, clear creek, northgate, 3001, wa, 19890621, 5173538
rec-13-org, harrison, paulka, 211, bourne street, tally ho, ballina, 3976, vic, 19260122, 4721250
rec-299-org, toby, maczkowiack, 8, kanooka street, carinya vlge, canley vale, 3219, nsw, 19000328, 7799632
rec-1442-org, ruby, jeffries, 73, forbes street, underwood, st albans, 4165, nsw, 19490705, 8939903
rec-779-dup-2, charlotte, mccraken, 5, , flr 5 john flynnmedical centre, bligh park, 4814, nsw, 19570529, 6092940
rec-375-dup-2, sma, webb, 5, deamer cerescent, belaradah, west lakes shore, 2570, wa, 19361215, 4408444
rec-1883-dup-1, jonah, nguyen, 8, dalley crescent, the palms village, kingary, 2607, nsw, 19591019, 9550440
rec-1729-org, eliza, white, 82, summerland circuit, rsd shee oak ridge, thornlie, 2345, qld, 19420103, 6353345
rec-438-org, barnaby, egan, 13, britten-jones drive, rawdon, kaleen, 4304, vic, 19270529, 6442115
rec-1232-dup-1, kate, rawlings, 70, corin place, oxfodrd, kuraby, 4216, qld, 19330925, 2464828
rec-245-org, mackinley, rees, 93, oman place, locn 2192, parmelia, 3084, wa, 19710708, 5830377
rec-1228-dup-4, hayden, covino, 10, glengariffe, deamer cf escent, north ryde, 2705, qld, 19541104, 2494239
rec-1347-org, jessica, ryan, 37, mccrae street, cherry haven, junortoun, 6065, vic, 19980225, 4602238
rec-1945-dup-2, bradley, clarke, 40, sharwood csrescent, lynd hurat, ringwood, 3959, wa, 19510302, 8586164
rec-1454-dup-0, locylan, grosser, 5, yapunyah street, youralla, gingin, 5276, nsw, 19530210, 5071722
rec-306-org, danielle, morrison, 95, london circuit, sec 552, bibra lake, 4701, vic, 19030709, 8907802
rec-1185-dup-0, alessandria, rabbitt, 19, ellenborough street, inglemer, mirrabooka, 2186, vic, 19900410, 6217834
rec-1346-org, phoebe, pettman-south, 108, kernot street, surfrider carvn park, ballina, 3175, vic, 19720328, 9681847
rec-907-dup-0, laura, braunak, 87, durville crescent, , graceyville, 2536, nsw, 19550419, 6978084
rec-443-dup-0, joshu a, hohn, 97, somme rlad place, coralyn, eight mile plains, 3178, vic, 19260422, 6588717
rec-361-org, millane, mccarthy, 3, alfred hill drive, hold fast shores, mortlake, 2032, wa, 19630818, 6220857
rec-891-dup-0, emma, thackeray, 71, kinkead street, warrah lea, newcomb, 4161, , 19670913, 4676877
rec-1177-org, , , 1, amaroo wallaroo road, parkside flats, chester hill, 4811, nsw, 19250804, 1323712
rec-818-org, malakai, schoppe, 31, boddington crescent, broadwater caravn park, trafalgar, 2747, vic, 19141221, 9890346
rec-1845-org, anastasia, kromwyk, 17, dyson street, , talwood, 4115, vic, , 8198114
rec-1334-org, jared, wytkin, 61, belfield crescent, rowethorpe, bundaberg, 5081, , 19831025, 2988806
rec-1113-dup-2, brinaa, morrison, 4, coolac vplace, esk farm, seaton, 2566, vic, 19131203, 2277933
rec-332-dup-0, lily, petersen, 13, bissenberger crescent, , melville, 2250, , 19020326, 3851124
rec-1815-org, sophie, lovelock, 7, calder crescent, , pitt town, 3810, nsw, 19470413, 1321061
rec-144-org, joshua, eyles, 27, harcourt street, belmore river, underdale, 2112, vic, 19861219, 1761692
rec-1903-dup-0, abbey, herno, 1, drosera place, quandialla, yarra junction, 0800, vic, 19760613, 2291123
rec-853-org, alexandra, heron, 327, tullaroop street, vinery, elsternwick, 6208, nsw, 19400609, 9873657
rec-1035-dup-0, jaiden, rollins, 48, tulgeywood, rossarden street, balwyn north, 2224, nt, 19280722, 7626396
rec-960-dup-1, timothy, neville, 21, fihelly street, villa2, st lucia, 3108, wa, 19781123, 1955388
rec-1124-dup-0, jarod, mccarthy, 63, henty street, moriah ifelds, , 2166, nsw, 19400529, 6158276
rec-517-dup-4, erin, humphreys, 11, endeavour street, lake macquzrie vlge, umina beach, 4873, nsw, 19670519, 9387932
rec-1746-dup-0, ruby, reid, 7, fitzmaurice street, , eaglwhawk, 2260, qld, 19120626, 8386277
rec-283-dup-2, charlie, primvaera, 6, chauvel street, st francis vlge, dover yeights, 2533, nsw, 19250314, 3173638
rec-439-dup-1, christian, ferris, 3, coombe street, warraview, plumpton, 5008, nsw, 19930222, 1670806
rec-1967-dup-2, eliza, mason, 57, kennedy sreet, brentwodo vlge, bundamba, 4067, tas, 19071124, 3004030
rec-1062-dup-3, kylie, dixon, 4, sanford xplace, white lofdge, phillip, 5047, sa, 19000404, 7161189
rec-71-dup-0, lauren, paine, 27, mcvey pace, yambira, helid on, 2776, qld, 19440502, 4517134
rec-1925-dup-3, alexandra, grosvenor, 16, anembo street, glenlee, frankston, 4818, nsw, 19930305, 2128447
rec-1109-org, harrison, schumann, 24, monaro crescent, donnelly rvr villg, oakleigh, 2280, nsw, 19991013, 9551413
rec-1644-dup-1, beams, emiily, 1, tarrabo ol street, , andergrove, 2075, qld, 19011124, 6512231
rec-1157-dup-1, ryan, fey, 82, kitchener street, un t 1, slacks creek, 3450, qld, 19870928, 4515379
rec-738-dup-2, georgia, byersi, 17, hilder street, , palmerston, 4740, nse, 19550530, 6410415
rec-362-org, anika, spicer, 3, melrose drive, rmbe 770, view bank, 2067, nsw, 19861012, 1434508
rec-1835-org, liam, kothe, 8, beaurepaire crescent, , allawah, 4570, qld, 19740720, 6657084
rec-219-dup-4, jaco b, , 24, downward place, banksia village, bunbury, 4671, qld, 19470530, 3777070
rec-899-org, pia, campbell, 28, euree street, ursula, corowa, 3199, vic, 19150704, 7029505
rec-550-org, lucinda, mcneill, 7, ashburton circuit, malekula, vaucluse, 3223, qld, 19090228, 4364711
rec-1407-org, olivia, wheatley, 5, crisp circuit, stanhope sth, lake clarendon, 4575, qld, 19421007, 5051083
rec-1258-dup-0, thomas, finlay, 2, vicke ry street, brindabella court, page, 2160, qld, 19520829, 5555657
rec-517-dup-1, erin, humphreys, 11, endeavour street, lake macquaire vlge, elanora heights, 4874, nsw, 19670519, 5094045
rec-286-dup-1, dominic, , 2, oxley street, clear creek, northgate, 3000, wa, 19890621, 5173538
rec-1343-dup-1, isabella, gilbertson, 67, boswell c rescent, , morwell, 4704, qld, 19111011, 9304242
rec-1985-dup-0, holly, shepherd, 44, castlereaghcrescent, dalkeith cottage, eaton, 6060, vic, 19980816, 1917978
rec-4-org, lachlan, goldsworthy, 61, ashkanasy crescent, mcivor ridge, rowville, 3158, vic, 19450818, 8577437
rec-990-org, andrea, brokenshire, 3, sturdee crescent, , birmingham gardens, 2455, nsw, 19450619, 2381532
rec-1570-org, jed, hearn, 560, gairdner circuit, hd curramulka, alice springs, 3056, qld, 19060312, 9442649
rec-410-dup-2, jordhau, ryan, 16, carnegie crescent, tahmoor, millrbook, 6004, vic, 19900903, 2479030
rec-1799-org, joshua, morrison, 17, beasley street, , tingalpa, 5097, vic, 19101123, 1294692
rec-1852-dup-0, flynn, crea, 45, , , lismore, 2068, nsw, 19610318, 7062906
rec-1271-dup-1, jacob, marampon, 39, lowanna street, glenveagh, keysborough, 3806, vic, , 7380723
rec-750-org, olivia, philps, 84, ennor crescent, yarawee, king river, 2540, nsw, 19770302, 4412451
rec-247-org, madison, fenwick, 63, terry close, llandina, glenside, 4551, sa, 19210711, 9717577
rec-277-org, juliana, petersen, 25, currong street, admiralty quays, glenside, 5280, nsw, 19610510, 1726629
rec-1191-dup-3, loan, green, 11, marlock street, kersley mews, an ula, 6233, nsw, 19440514, 2837625
rec-1616-dup-0, ebpony, , 90, david street, , long jetty, 6630, nsw, 19410614, 7166687
rec-960-org, timothy, neville, 21, fihelly street, villa 2, st lucia, 3108, wa, 19781123, 1955388
rec-421-dup-2, charlei, ebert, 21, brewste r place, summerdale medical centre, frankston, 4570, vic, 19711020, 3939901
rec-454-dup-0, bianca, marlow, 34, dietricho place, , alice springs, 5065, wa, 19980201, 4351633
rec-1236-dup-1, kayne, priest, 48, temperley street, sunrest squd, north nrarabeen, 3995, wa, 19831118, 1585410
rec-108-org, madison, boxhall, 10, yanda street, kookaburra village, dapto, 4703, sa, 19170926, 7262746
rec-1390-org, erin, birchby, 24, burrowes place, elston, creswick, 4721, vic, 19461022, 7298611
rec-1111-dup-2, jasmine, sach, 17, goble s treet, ren own, gawler west, 2031, nsw, 19791109, 2530372
rec-1548-org, jack, brock, 1, duhig place, , boyanup, 2484, nsw, 19800422, 8460078
rec-1452-org, hugo, walkington, 51, oxley street, karoo, oak park, 6026, nsw, 19150227, 8296721
rec-1941-org, , whiteley, 17, mcluckie crescent, kintrye, malvern east, 4810, vic, 19800908, 2774642
rec-1776-org, cameron, unyland, 25, chewings street, underwood, broken hill, 6109, qld, 19980904, 2071902
rec-1334-dup-0, jared, wytkon, 61, belfield crescent, rowethorpe, bundaberg, 5081, , 19831025, 2988806
rec-1399-org, danielle, millar, 6, stanfield close, rosetta village, blackburn north, 3102, qld, 19991007, 1611706
rec-1577-org, charlotte, carbone, 12, peppin place, , albury, 4559, sa, 19171126, 4856046
rec-147-dup-0, matthew, seddon, 195, collingriddge street, port 366, paralowie, 3830, nsw, 19920305, 6514580
rec-1416-dup-1, any, miteff, 68, john clelad crescent, barkom, blackheath, 2036, qld, 19160228, 2583901
rec-1539-dup-0, jessica, wasley, 53, eyre street, milmilland, cronulla, 2564, wa, 19931004, 3209589
rec-250-org, keely, dixon, 2, lacey place, briars meadows, barrington, 5087, nsw, 19380328, 5477511
rec-397-org, matthew, brookhouse, 3, goodparla street, timdoolin, highett, 2170, nsw, 19101115, 6804612
rec-1425-org, , rundle, 101, eaglemont retreat, laalgarths, prospect, 6168, qld, 19070103, 7881088
rec-1707-dup-4, , frgh, 62, matina street, sun city r esort, ascot park, 4107, wa, 19760203, 9419843
rec-1481-org, olivia, cecotti, 4, dobell circuit, , cabramatta, 6152, vic, 19580919, 6701777
rec-1113-dup-1, brianna, morrison, 4, burston place, esk f airm, seaton, 2566, vic, 19131203, 2277933
rec-1076-dup-1, sarah, greenw, 37, kelleway avenue, allandale, marlesgon, 6014, qld, 19140908, 6213427
rec-1050-org, jenna, pasalic, 679, tarana street, mallanganee, osborne, 4342, vic, 19541124, 7730932
rec-905-org, kylie, koziol, 16, wolff crescent, brentwood vlge, kurrajong heights, 3135, vic, 19320709, 9336502
rec-1811-dup-0, samuel, walls, 74, shoalhaven avenue, clearc reek, racevieh, 3223, nsw, 19370409, 4859969
rec-436-org, christopher, behnke, 378, troughton street, , geranium, 3496, qld, 19080930, 7045937
rec-497-dup-3, alexandra, clarke, 184, sadlier srreet, yakatoon, westbrook, 2756, qld, 19190129, 2749367
rec-1697-dup-2, zachary, ebert, 64, costello circuit, foxlea, mosman, 2280, nsw, 19390217, 2473890
rec-762-org, zarlia, lowe, 48, van raalte place, hd blanche sec 28, cabramatta, 3192, wa, 19730726, 2720933
rec-111-org, jasmine, morrison, 16, methven place, armidale, point lonsdale, 3211, wa, 19760810, 1195414
